B 1000
I 171 80
I 171 2
I 16 170
I 30 101
I 133 66
I 36 97
I 159 59
I 88 161
I 105 4
I 165 99
I 154 124
I 56 24
I 10 28
I 157 66
I 139 174
I 130 33
I 104 86
I 172 14
I 75 169
I 38 177
I 95 184
I 78 134
I 85 198
I 179 141
I 95 81
I 112 139
I 75 71
I 107 29
I 128 164
I 20 52
I 148 35
I 152 199
I 102 111
I 58 92
I 71 28
I 52 191
I 24 66
I 159 169
I 197 195
I 120 71
I 108 153
I 174 161
I 128 123
I 12 156
I 191 69
I 196 62
I 172 23
I 154 3
I 126 82
I 93 32
I 161 156
I 35 116
I 66 113
I 62 74
I 115 49
I 157 184
I 120 198
I 30 113
I 130 158
I 162 58
I 14 31
I 60 135
I 187 84
I 141 121
I 12 156
I 89 12
I 118 174
I 58 128
I 58 89
I 93 71
I 62 58
I 100 59
I 168 58
I 148 63
I 132 138
I 52 190
I 39 44
I 1 68
I 52 19
I 56 66
I 21 153
I 40 31
I 76 150
I 23 90
I 34 41
I 190 52
I 157 53
I 129 26
I 98 126
I 105 190
I 92 31
I 125 102
I 151 187
I 69 145
I 13 104
I 186 115
I 183 73
I 119 132
I 118 179
I 119 37
I 144 142
I 181 117
I 188 140
I 72 194
I 134 144
I 63 84
I 62 199
I 134 172
I 47 169
I 10 136
I 135 185
I 119 25
I 51 194
I 56 116
I 199 133
I 0 175
I 175 81
I 4 143
I 75 5
I 39 63
I 26 97
I 151 193
I 159 191
I 162 46
I 190 139
I 141 177
I 18 15
I 51 33
I 14 162
I 127 145
I 160 192
I 161 175
I 98 55
I 141 81
I 107 109
I 59 184
I 38 84
I 14 92
I 3 119
I 115 110
I 87 100
I 33 91
I 135 25
I 114 145
I 71 175
I 153 111
I 171 154
I 118 109
I 146 80
I 175 164
I 80 9
I 88 99
I 12 185
I 114 25
I 178 199
I 13 139
I 172 62
I 130 105
I 190 27
I 199 185
I 138 156
I 57 18
I 82 50
I 171 148
I 110 137
I 23 54
I 180 165
I 149 5
I 23 157
I 44 51
I 143 140
I 183 48
I 57 199
I 11 25
I 178 182
I 105 61
I 97 157
I 118 19
I 1 94
I 19 73
I 5 164
I 44 124
I 61 19
I 176 93
I 173 120
I 125 187
I 76 46
I 74 167
I 169 189
I 67 150
I 100 61
I 113 86
I 49 165
I 84 100
I 197 89
I 141 8
I 51 8
I 184 193
I 159 45
I 22 40
I 114 41
I 40 118
I 164 92
I 23 104
I 103 58
I 85 39
I 177 74
I 107 69
I 114 178
I 9 190
I 31 18
I 67 17
I 191 194
I 50 138
I 178 170
I 61 76
I 152 18
I 114 158
I 112 134
I 159 77
I 107 73
I 153 195
I 94 142
I 67 151
I 188 48
I 2 174
