B 100
I 470 1011
I 722 1429
I 860 323
I 1239 19
I 899 403
I 922 641
I 767 1230
I 1059 113
I 813 1076
I 1411 611
I 430 235
I 303 1196
I 120 649
I 1295 1027
I 246 729
I 992 1436
I 510 18
I 744 581
I 759 173
I 1245 1102
I 134 237
I 589 367
I 1076 581
I 14 1257
I 1146 641
I 28 486
I 940 392
I 392 1149
I 877 1189
I 1011 0
I 609 109
I 378 231
I 848 1480
I 997 823
I 171 491
I 1111 835
I 594 1241
I 428 690
I 1365 1199
I 755 281
I 124 56
I 116 715
I 393 1119
I 92 588
I 951 731
I 446 328
I 1103 420
I 1451 732
I 993 898
I 1022 388
I 735 1469
I 770 1480
I 685 466
I 1389 666
I 484 215
I 743 154
I 891 661
I 1335 102
I 689 222
I 1196 1300
I 1140 82
I 112 1422
I 423 727
I 418 1244
I 70 438
I 583 1477
I 405 635
I 962 1071
I 177 1224
I 44 790
I 1106 1433
I 1358 1398
I 431 46
I 1267 37
I 450 1100
I 991 1134
I 160 1405
I 664 129
I 406 394
I 333 862
I 991 151
I 1270 238
I 49 93
I 1033 177
I 1272 254
I 455 900
I 634 7
I 922 1007
I 957 1212
I 1316 116
I 1434 28
I 1040 2
I 141 280
I 513 529
I 40 122
I 1477 1064
I 1241 999
I 1330 363
I 1305 1019
I 550 623
B 100
I 555 1487
I 1486 1208
I 1215 1451
I 125 964
I 804 556
I 792 118
I 11 32
I 522 979
I 146 1298
I 668 445
I 169 529
I 205 85
I 419 1084
I 447 391
I 1210 282
I 319 1219
I 1109 638
I 569 441
I 973 497
I 989 1191
I 1477 796
I 1455 1026
I 1362 1388
I 816 678
I 289 59
I 601 487
I 204 707
I 134 314
I 1267 362
I 28 52
I 1129 1015
I 865 57
I 550 642
I 261 988
I 1088 490
I 1208 1181
I 434 849
I 1212 563
I 1420 288
I 591 1397
I 735 938
I 1025 1463
I 1492 306
I 531 58
I 785 1349
I 896 1441
I 1242 1461
I 431 450
I 30 1201
I 1210 19
I 459 569
I 1056 387
I 33 203
I 1378 200
I 1335 1110
I 237 949
I 111 1428
I 450 432
I 625 218
I 1426 1423
I 1233 1403
I 1227 1068
I 1007 614
I 537 494
I 416 822
I 159 225
I 198 67
I 914 620
I 263 509
I 678 946
I 148 614
I 1446 102
I 1495 1320
I 1455 1277
I 521 611
I 1138 198
I 1124 693
I 1409 839
I 1444 428
I 1152 535
I 354 987
I 1255 31
I 545 380
I 12 623
I 1233 1296
I 146 292
I 855 925
I 1059 384
I 785 365
I 406 987
I 1008 565
I 1405 743
I 1479 1311
I 410 1072
I 1211 941
I 212 1461
I 901 1047
I 275 673
I 1201 28
I 743 618
B 100
I 195 885
I 496 1417
I 529 678
I 727 277
I 270 249
I 974 920
I 876 169
I 1395 886
I 122 252
I 117 635
I 538 233
I 1113 664
I 753 299
I 396 406
I 1287 855
I 427 352
I 1145 675
I 1386 209
I 1314 788
I 1083 472
I 662 781
I 26 456
I 634 777
I 113 1169
I 269 373
I 1208 1343
I 1426 883
I 1305 1477
I 420 576
I 1142 1269
I 1230 1192
I 1479 1238
I 1304 1022
I 1104 1186
I 414 1384
I 1149 1484
I 237 1160
I 1357 100
I 726 310
I 986 1496
I 919 997
I 1436 914
I 1142 453
I 1481 217
I 667 1
I 567 573
I 1442 1093
I 605 0
I 1132 764
I 243 617
I 401 488
I 29 367
I 1400 173
I 1402 893
I 264 1219
I 1338 1282
I 839 1286
I 616 1142
I 772 783
I 1208 871
I 906 525
I 1336 1204
I 252 1066
I 372 702
I 746 1088
I 1326 939
I 1202 716
I 773 1014
I 1312 45
I 764 1303
I 857 573
I 1285 328
I 1148 402
I 482 913
I 965 56
I 1211 168
I 408 1204
I 1344 168
I 247 216
I 626 280
I 521 813
I 148 1340
I 847 1306
I 737 1433
I 667 448
I 468 1199
I 675 169
I 1048 607
I 215 158
I 1465 403
I 1404 327
I 712 337
I 1203 384
I 719 654
I 1420 802
I 1302 1299
I 244 667
I 1284 774
I 1282 210
I 223 455
B 100
I 1264 324
I 1119 1156
I 805 265
I 345 1350
I 517 428
I 1347 365
I 1052 14
I 1077 489
I 1043 465
I 180 797
I 828 853
I 563 873
I 1325 377
I 588 363
I 969 818
I 411 1297
I 916 1329
I 869 1342
I 1196 980
I 1108 622
I 1422 981
I 133 1476
I 803 326
I 260 660
I 935 1476
I 528 407
I 124 909
I 1020 924
I 1436 119
I 262 59
I 976 945
I 594 1222
I 214 1442
I 630 853
I 1488 689
I 141 1197
I 1445 627
I 534 1308
I 1399 276
I 863 1291
I 946 166
I 561 155
I 88 3
I 356 221
I 493 414
I 1043 433
I 996 284
I 743 1069
I 179 1040
I 1443 643
I 1169 1126
I 1196 335
I 0 1199
I 1128 751
I 1368 382
I 377 778
I 1212 457
I 76 188
I 105 1346
I 605 707
I 447 617
I 616 575
I 962 1004
I 1115 66
I 1203 1030
I 114 1406
I 878 1287
I 1 1173
I 1071 844
I 1097 255
I 377 340
I 58 1283
I 1121 1142
I 156 1112
I 634 1370
I 1110 571
I 1180 1305
I 509 469
I 677 1265
I 916 52
I 899 1049
I 696 1192
I 1486 1446
I 482 871
I 1043 1450
I 882 1110
I 722 1120
I 179 52
I 152 68
I 624 1430
I 395 77
I 1070 97
I 905 851
I 688 805
I 1371 1015
I 509 65
I 1235 964
I 689 560
I 108 1394
I 922 581
B 100
I 446 760
I 470 642
I 1364 398
I 646 1357
I 1240 1199
I 375 598
I 1051 876
I 814 1432
I 598 43
I 68 123
I 326 1360
I 1432 217
I 1420 553
I 456 1151
I 790 290
I 1115 936
I 771 864
I 1251 101
I 873 750
I 1056 627
I 932 634
I 859 286
I 679 801
I 159 139
I 931 518
I 786 294
I 517 915
I 915 212
I 976 278
I 460 590
I 648 1115
I 201 1041
I 1174 712
I 637 45
I 423 491
I 998 1499
I 354 426
I 358 1248
I 610 1286
I 284 559
I 494 886
I 183 229
I 564 814
I 1267 101
I 1139 876
I 748 1037
I 1480 1205
I 202 458
I 1095 253
I 1013 896
I 1224 769
I 379 1124
I 83 206
I 212 1215
I 304 329
I 663 692
I 1424 1283
I 1003 210
I 452 532
I 825 823
I 1120 199
I 1055 904
I 601 795
I 804 931
I 205 29
I 918 690
I 659 869
I 390 282
I 147 522
I 438 1302
I 1226 1084
I 814 931
I 228 74
I 431 755
I 570 863
I 0 156
I 56 752
I 11 29
I 1036 1447
I 1355 839
I 1153 1075
I 113 1443
I 588 175
I 268 84
I 728 192
I 697 1182
I 1224 439
I 66 231
I 635 779
I 1232 1286
I 659 1350
I 1236 1215
I 705 176
I 72 159
I 140 228
I 496 1486
I 610 1027
I 399 824
I 739 159
I 928 152
B 100
I 116 917
I 163 351
I 204 513
I 579 569
I 996 656
I 659 728
I 694 1105
