B 1000
D 171 101
D 171 56
D 16 111
D 30 177
D 133 33
D 36 50
D 159 132
D 88 41
D 105 151
D 165 187
D 154 150
D 56 45
D 10 26
D 157 2
D 27 159
D 174 78
D 33 29
D 86 62
D 124 43
D 6 154
D 14 11
D 169 8
D 177 138
D 104 64
D 81 195
D 173 133
D 36 50
D 84 30
D 24 76
D 82 74
D 66 59
D 99 64
D 85 194
D 149 62
D 59 49
D 61 193
D 107 23
D 60 47
D 71 127
D 52 113
D 24 17
D 159 175
D 197 104
D 120 95
D 28 2
D 153 100
D 161 83
D 123 124
D 156 136
D 151 17
D 98 197
D 187 4
D 191 9
D 70 54
D 174 6
D 93 95
D 161 50
D 35 122
D 66 124
D 62 154
D 115 80
D 157 119
D 120 39
D 83 52
D 113 114
D 158 30
D 58 40
D 31 55
D 135 73
D 84 105
D 121 36
D 178 20
D 124 64
D 89 74
D 118 150
D 45 62
D 128 187
D 89 18
D 71 190
D 58 27
D 59 158
D 58 199
D 41 5
D 155 104
D 63 56
D 138 52
D 190 180
D 44 73
D 61 144
D 45 62
D 188 90
D 118 23
D 116 69
D 162 182
D 76 74
D 23 184
D 8 42
D 77 26
D 66 98
D 4 138
D 157 169
D 129 171
D 98 137
D 105 84
D 92 197
D 120 14
D 102 28
D 157 151
D 137 112
D 75 184
D 58 56
D 186 165
D 183 133
D 119 39
D 118 196
D 119 100
D 144 9
D 46 22
D 6 158
D 46 135
D 129 14
D 155 150
D 134 93
D 63 177
D 62 198
D 134 101
D 47 40
D 10 76
D 135 15
D 119 123
D 51 71
D 56 8
D 199 144
D 0 4
D 175 130
D 4 44
D 75 155
D 39 170
D 197 159
D 97 94
D 193 141
D 191 134
D 46 134
D 139 160
D 177 157
D 15 81
D 33 66
D 162 23
D 145 99
D 192 51
D 37 36
D 52 27
D 81 107
D 113 125
D 107 176
D 59 56
D 38 60
D 14 124
D 3 20
D 115 20
D 87 74
D 33 155
D 135 95
D 114 154
D 71 195
D 153 2
D 171 64
D 118 164
D 85 38
D 80 74
D 164 148
D 9 156
D 99 26
D 185 42
D 25 166
D 199 124
D 139 12
D 198 64
D 3 109
D 25 151
D 190 195
D 123 165
D 25 199
D 106 23
D 82 60
D 171 115
D 110 39
D 23 121
D 180 77
D 149 41
D 23 70
D 44 127
D 143 11
D 183 86
D 195 24
D 154 13
D 173 102
D 191 58
D 43 52
D 105 34
D 97 11
