B 10
I 114 65
I 73 193
I 32 81
I 27 64
I 16 10
I 104 76
I 105 194
I 185 146
I 80 67
I 182 173
B 10
I 45 26
I 176 101
I 34 153
I 55 140
I 48 141
I 191 136
I 49 97
I 88 116
I 36 185
I 102 75
B 10
I 1 143
I 92 187
I 54 149
I 170 65
I 70 33
I 84 120
I 13 174
I 6 126
I 34 32
I 95 91
B 10
I 140 47
I 32 80
I 128 88
I 92 125
I 185 178
I 45 90
I 35 110
I 29 26
I 51 22
I 78 64
B 10
I 168 4
I 60 169
I 22 43
I 53 113
I 126 42
I 4 88
I 17 127
I 31 30
I 154 68
I 30 8
B 10
I 167 179
I 22 19
I 57 140
I 73 34
I 49 131
I 25 13
I 9 168
I 44 49
I 108 93
I 49 29
B 10
I 179 63
I 111 43
I 17 34
I 28 159
I 59 35
I 185 123
I 7 175
I 68 149
I 83 179
I 115 160
B 10
I 107 18
I 146 125
I 77 111
I 185 189
I 115 159
I 128 114
I 95 26
I 93 77
I 55 15
I 37 93
B 10
I 182 146
I 65 52
I 140 66
I 12 37
I 36 26
I 186 102
I 66 144
I 54 116
I 198 79
I 182 26
B 10
I 75 103
I 190 21
I 168 107
I 90 41
I 145 58
I 173 65
I 98 131
I 107 0
I 34 54
I 140 26
B 10
I 53 9
I 131 183
I 14 104
I 177 108
I 182 190
I 93 51
I 150 186
I 81 29
I 71 56
I 83 141
B 10
I 82 58
I 80 39
I 164 91
I 113 184
I 145 56
I 139 79
I 133 105
I 74 106
I 153 93
I 21 188
B 10
I 78 127
I 66 30
I 78 102
I 91 123
I 175 8
I 190 141
I 137 172
I 102 133
I 5 113
I 196 156
B 10
I 72 106
I 116 112
I 171 193
I 149 176
I 100 91
I 143 12
I 132 156
I 41 77
I 193 49
I 167 17
B 10
I 154 84
I 13 12
I 28 124
I 90 42
I 66 157
I 93 17
I 41 193
I 144 73
I 112 123
I 188 42
B 10
I 18 140
I 75 61
I 0 110
I 143 50
I 138 115
I 168 38
I 45 185
I 143 144
I 128 197
I 160 27
B 10
I 190 52
I 17 65
I 171 149
I 136 2
I 33 48
I 57 150
I 185 134
I 52 28
I 16 55
I 120 0
B 10
I 114 13
I 93 33
I 23 52
I 152 33
I 72 158
I 187 98
I 17 61
I 92 189
I 136 133
I 42 60
B 10
I 82 117
I 167 150
I 118 160
I 103 10
I 126 181
I 185 155
I 80 140
I 99 70
I 55 96
I 133 76
B 10
I 112 130
I 133 112
I 94 174
I 35 37
I 120 146
I 144 89
I 101 164
I 112 41
I 192 29
I 76 107
B 10
I 13 99
I 196 181
I 90 56
I 69 30
I 171 84
I 185 61
I 196 168
I 71 11
I 77 165
I 71 14
B 10
I 78 97
I 192 38
I 112 42
I 69 133
I 157 19
I 189 41
I 7 189
I 190 163
I 158 80
I 184 170
B 10
I 110 51
I 74 181
I 57 99
I 114 56
I 98 191
I 108 39
I 125 138
I 128 189
I 51 161
I 60 6
B 10
I 129 186
I 137 67
I 104 141
I 181 15
I 15 177
I 55 131
I 156 124
I 41 39
I 177 120
I 66 152
B 10
I 27 93
I 117 76
I 190 82
I 26 136
I 116 109
I 106 113
I 80 143
I 7 130
I 198 124
I 116 147
B 10
I 157 48
I 9 73
I 51 72
I 23 119
I 121 31
I 149 125
I 27 115
I 192 27
I 11 74
I 14 29
B 10
I 145 152
I 72 173
I 94 169
I 177 116
I 133 24
I 14 78
I 160 121
I 101 172
I 99 69
I 188 30
B 10
I 6 18
I 105 187
I 112 135
I 24 47
I 8 43
I 38 37
I 43 55
I 56 134
I 170 26
I 60 100
B 10
I 182 188
I 78 79
I 179 25
I 32 22
I 20 102
I 170 75
I 123 34
I 95 20
I 192 173
I 70 62
B 10
I 4 182
I 39 70
I 108 123
I 7 125
I 78 88
I 188 191
I 70 31
I 129 73
I 146 148
I 169 120
B 10
I 57 140
I 150 170
I 141 59
I 111 8
I 76 63
I 80 183
I 167 56
I 196 161
I 95 116
I 171 85
B 10
I 103 20
I 34 141
I 167 49
I 105 125
I 2 1
I 186 102
I 40 132
I 5 129
I 162 27
I 164 147
B 10
I 129 157
I 112 105
I 49 36
I 66 186
I 75 135
I 135 33
I 52 88
I 69 63
I 132 22
I 30 17
B 10
I 39 195
I 16 93
I 40 190
I 32 124
I 158 175
I 142 64
I 30 28
I 74 59
I 183 6
I 59 141
B 10
I 72 16
I 41 31
I 8 127
I 151 20
I 152 85
I 161 92
I 158 181
I 28 99
I 101 176
I 153 16
B 10
I 32 180
I 31 66
I 165 14
I 118 77
I 81 135
I 190 188
I 75 186
I 161 118
I 43 141
I 181 105
B 10
I 108 25
I 29 173
I 30 16
I 53 104
I 107 116
I 100 141
I 5 100
I 53 144
I 126 163
I 22 64
B 10
I 107 91
I 90 132
I 9 112
I 124 170
I 84 44
I 65 16
I 153 138
I 153 57
I 170 26
I 32 83
B 10
I 37 97
I 85 127
I 88 162
I 72 114
I 186 135
I 155 157
I 156 174
I 175 136
I 120 147
I 124 147
B 10
I 41 131
I 87 191
I 187 189
I 93 3
I 152 15
I 157 94
I 68 197
I 162 170
I 0 30
I 184 139
