B 100
I 155 65
I 127 73
I 196 17
I 192 120
I 122 68
I 28 166
I 104 37
I 18 135
I 40 48
I 127 16
I 110 20
I 92 79
I 55 57
I 137 166
I 36 104
I 53 108
I 53 88
I 96 3
I 121 61
I 27 153
I 130 112
I 121 125
I 18 65
I 58 60
I 117 55
I 178 55
I 101 169
I 27 28
I 112 144
I 95 35
I 105 95
I 73 34
I 74 98
I 88 147
I 63 133
I 147 185
I 24 28
I 80 75
I 147 183
I 36 55
I 195 129
I 27 93
I 2 49
I 172 106
I 62 186
I 97 129
I 102 162
I 93 50
I 87 165
I 120 101
I 62 192
I 113 197
I 116 0
I 7 131
I 173 56
I 66 15
I 72 170
I 74 133
I 18 34
I 196 101
I 92 192
I 168 148
I 31 42
I 16 9
I 139 65
I 96 37
I 168 154
I 146 79
I 143 90
I 103 60
I 142 33
I 43 128
I 96 27
I 93 199
I 45 6
I 117 130
I 174 121
I 45 13
I 136 103
I 33 105
I 129 191
I 32 42
I 1 108
I 54 86
I 4 10
I 161 98
I 94 76
I 9 30
I 179 100
I 13 91
I 92 198
I 2 177
I 59 4
I 36 139
I 159 169
I 65 72
I 156 88
I 166 149
I 167 95
I 109 178
B 100
I 154 38
I 181 184
I 59 78
I 92 78
I 196 74
I 74 114
I 15 28
I 184 171
I 1 19
I 77 126
I 32 119
I 165 146
I 66 15
I 35 3
I 38 161
I 138 162
I 87 196
I 183 33
I 9 199
I 28 165
I 33 9
I 105 77
I 103 152
I 114 47
I 3 21
I 68 193
I 11 42
I 142 12
I 190 7
I 57 109
I 18 99
I 139 150
I 4 116
I 161 79
I 53 139
I 69 149
I 97 62
I 187 7
I 138 71
I 27 53
I 127 195
I 64 95
I 5 69
I 94 190
I 171 122
I 55 129
I 38 72
I 72 9
I 126 25
I 25 117
I 35 22
I 177 179
I 157 38
I 140 98
I 23 47
I 163 89
I 108 130
I 99 193
I 148 90
I 57 153
I 199 49
I 45 152
I 35 128
I 53 60
I 134 97
I 146 141
I 188 16
I 69 3
I 86 137
I 12 52
I 188 157
I 179 197
I 110 109
I 35 97
I 184 186
I 80 188
I 189 121
I 37 57
I 174 189
I 25 45
I 59 192
I 102 105
I 143 169
I 186 131
I 20 11
I 147 119
I 13 22
I 163 86
I 30 114
I 61 81
I 182 164
I 157 70
I 144 34
I 175 156
I 118 163
I 13 16
I 107 17
I 184 69
I 105 117
I 25 130
B 100
I 172 78
I 44 103
I 198 81
I 171 53
I 26 169
I 13 155
I 16 121
I 30 157
I 39 33
I 183 27
I 32 54
I 86 33
I 107 10
I 58 67
I 121 19
I 37 69
I 179 89
I 68 29
I 191 26
I 62 29
I 155 152
I 34 112
I 161 2
I 109 144
I 53 36
I 111 96
I 76 116
I 28 18
I 50 31
I 61 95
I 57 23
I 129 186
I 83 157
I 42 82
I 161 67
I 44 145
I 9 55
I 173 105
I 55 87
I 133 190
I 148 134
I 149 35
I 71 16
I 23 109
I 155 84
I 72 44
I 10 53
I 76 109
I 71 165
I 11 73
I 103 119
I 128 33
I 52 187
I 67 117
I 68 172
I 53 129
I 99 0
I 29 25
I 156 17
I 155 68
I 103 192
I 168 66
I 137 183
I 87 33
I 109 24
I 77 183
I 121 164
I 185 25
I 43 63
I 140 91
I 103 52
I 6 122
I 15 90
I 149 197
I 123 7
I 70 96
I 101 25
I 16 82
I 7 47
I 135 100
I 124 107
I 81 36
I 106 104
I 51 89
I 177 28
I 66 126
I 185 187
I 129 159
I 78 92
I 10 97
I 67 89
I 0 131
I 91 65
I 30 102
I 167 130
I 154 165
I 71 92
I 15 2
I 160 47
I 51 62
B 100
I 19 69
I 49 28
I 182 36
I 97 188
I 170 7
I 70 90
I 190 18
I 67 16
I 81 13
I 59 119
