B 10
I 162 122
I 374 353
I 222 1133
I 569 904
D 221 217
I 367 1202
D 1055 1073
D 742 736
D 727 737
D 866 852
B 10
I 1096 347
D 933 945
D 285 289
I 63 1480
I 131 810
D 65 68
D 269 255
D 86 85
D 257 274
D 461 467
B 10
D 68 72
I 1188 90
I 1101 342
I 718 799
D 5 15
I 1466 859
I 542 1278
D 1113 1122
I 1044 854
D 1226 1235
B 10
D 1223 1207
I 1271 402
D 1214 1224
I 361 323
D 433 447
I 423 1327
D 425 426
D 39 26
I 1285 921
I 1322 1146
B 10
D 773 757
D 1412 1421
I 1316 508
I 1354 492
I 1011 147
D 927 949
D 580 586
I 73 198
D 62 56
I 106 1105
B 10
D 888 886
I 781 1046
I 287 893
I 331 1223
D 1245 1233
I 976 567
D 1226 1235
I 328 1175
D 826 825
D 550 567
B 10
I 798 750
D 1403 1420
I 1444 799
D 983 986
I 791 527
I 92 370
I 201 308
D 1207 1204
D 889 877
D 841 826
B 10
I 1287 706
D 439 434
I 1309 1188
D 783 784
D 1002 1003
I 733 1253
D 274 263
D 451 461
D 1470 1454
I 552 548
B 10
I 22 1020
I 363 1348
I 5 1427
I 366 1054
D 147 134
I 393 1445
I 108 959
I 489 1457
D 1218 1223
I 82 298
B 10
I 1240 393
D 683 677
I 1179 1254
D 1068 1064
D 1330 1342
I 1196 1324
I 372 960
D 169 172
I 1450 521
I 38 1472
B 10
I 338 552
I 234 1174
D 734 727
D 950 960
I 389 457
D 135 139
I 1194 966
D 292 285
D 340 344
D 704 712
B 10
D 1161 1150
D 84 86
D 353 354
D 994 986
D 582 593
I 1234 1120
D 863 874
I 1142 337
D 1487 1498
I 1358 850
B 10
D 1402 1415
D 253 260
D 183 191
D 1366 1358
I 178 133
D 693 676
D 543 532
I 196 1278
D 1383 1376
I 1365 1180
B 10
D 494 478
I 1184 1000
I 248 1451
D 580 598
I 533 728
D 842 844
D 1046 1034
D 465 464
I 171 388
I 374 546
B 10
D 1248 1246
D 554 562
I 1474 864
I 790 1341
I 1363 1475
I 1127 1001
D 1097 1096
I 827 1384
D 1101 1115
I 654 1472
B 10
I 42 880
D 1035 1037
D 1101 1112
I 1114 762
I 735 250
I 1382 248
D 229 227
D 93 95
I 700 1410
I 204 978
B 10
I 411 138
D 1289 1283
I 205 1146
I 289 1219
D 759 753
I 586 324
D 1361 1369
I 391 374
D 547 545
I 885 93
B 10
I 1242 854
D 283 293
I 711 4
I 1116 508
D 260 267
I 1393 436
D 1301 1305
D 1127 1130
D 138 132
I 1332 391
B 10
I 696 1282
I 465 850
I 1370 1182
I 543 373
I 484 1222
D 125 135
D 312 316
I 979 1001
I 938 455
I 1167 692
B 10
D 329 331
I 861 3
I 1341 633
D 1359 1361
D 1221 1224
D 1331 1334
D 422 408
D 1296 1288
I 590 235
I 1086 1304
B 10
D 209 224
I 853 889
D 195 192
I 139 871
D 731 738
I 208 569
D 1175 602
I 1109 975
D 1030 1042
I 252 616
B 10
D 90 87
D 1236 1245
D 390 375
D 1423 1416
I 1027 767
D 1276 1280
D 178 192
I 1300 80
I 1489 934
I 613 660
B 10
D 966 969
D 377 391
I 764 939
D 616 604
I 1333 1433
I 461 218
I 990 1131
I 59 923
D 22 14
I 733 1265
B 10
I 1099 1380
D 991 982
D 994 977
I 1065 1300
I 226 662
I 445 221
I 184 517
I 478 851
I 1422 1267
I 1145 504
B 10
D 639 626
I 663 1170
D 1358 1370
I 1298 500
D 1287 1276
D 613 624
D 370 352
D 826 835
D 1208 1214
I 249 390
B 10
I 951 1308
I 391 1019
D 1224 1211
D 497 490
I 710 229
D 373 372
I 1099 156
D 1440 1425
I 1318 1373
I 532 593
B 10
D 946 937
I 887 316
D 1176 1191
I 1088 691
D 1021 1020
D 1166 1157
D 964 966
D 348 336
I 301 809
I 345 955
B 10
I 1297 412
D 1178 1181
D 588 583
D 157 166
I 1 567
D 481 489
D 312 316
I 1270 1357
D 33 40
I 653 29
B 10
I 641 41
I 558 213
I 469 1295
D 1104 1118
D 906 916
I 869 437
I 559 1106
I 747 696
I 1385 691
D 632 649
B 10
D 1059 1073
D 1378 1375
D 712 722
D 401 419
D 409 424
I 140 414
I 759 65
I 637 574
D 7 2
D 815 804
B 10
D 523 504
D 672 655
D 1375 1383
D 217 205
I 1185 286
I 1089 934
I 733 152
D 460 466
D 579 581
D 386 380
B 10
D 1264 1253
D 355 370
I 629 920
D 1253 1256
I 184 1062
I 672 1168
D 700 710
D 375 394
D 1028 1043
I 84 300
B 10
D 700 718
I 42 678
D 462 452
D 828 837
D 997 996
D 1060 1070
I 929 606
I 966 274
I 6 1493
D 815 813
B 10
D 95 88
I 116 819
D 211 224
I 788 879
D 54 71
D 240 236
D 272 270
