B 10
D 162 154
D 374 355
D 222 214
D 569 563
D 221 217
D 367 362
D 1055 1073
D 742 736
D 727 737
D 866 852
B 10
D 1096 1081
D 933 945
D 285 289
D 63 67
D 131 129
D 65 68
D 269 255
D 86 85
D 257 274
D 461 467
B 10
D 68 72
D 1188 1186
D 1101 1115
D 718 246
D 5 15
D 1466 1459
D 542 543
D 1113 1122
D 1044 1049
D 1226 1235
B 10
D 1223 1207
D 1271 1264
D 1214 1224
D 361 371
D 433 447
D 423 415
D 425 426
D 39 26
D 1285 1298
D 1322 1313
B 10
D 773 757
D 1412 1421
D 1316 1313
D 1354 1351
D 1011 1017
D 927 949
D 580 586
D 73 55
D 62 56
D 106 111
B 10
D 888 886
D 781 789
D 287 276
D 658 673
D 1223 1219
D 545 533
D 567 557
D 9 22
D 1175 1182
D 596 591
B 10
D 208 211
D 750 755
D 1018 1005
D 1461 1474
D 1018 1013
D 103 102
D 1253 654
D 128 132
D 87 94
D 1064 1063
B 10
D 316 303
D 1499 1492
D 954 964
D 1024 1003
D 513 501
D 1447 1426
D 22 15
D 1414 1422
D 1008 1003
D 147 142
B 10
D 1278 1289
D 933 937
D 429 448
D 476 480
D 29 41
D 925 935
D 466 455
D 407 410
D 1408 1416
D 802 819
B 10
D 769 762
D 82 88
D 1240 1249
D 683 677
D 1179 1178
D 1068 1064
D 1330 1342
D 1196 1191
D 372 356
D 169 172
B 10
D 1450 1451
D 38 47
D 338 344
D 234 235
D 734 727
D 950 960
D 389 390
D 135 139
D 1194 1188
D 292 285
B 10
D 340 344
D 704 712
D 1161 1150
D 84 86
D 353 354
D 994 986
D 582 593
D 1234 1225
D 863 874
D 1142 1138
B 10
D 1487 1498
D 1358 1355
D 1402 1415
D 253 260
D 183 191
D 1366 1358
D 178 197
D 693 676
D 543 532
D 196 187
B 10
D 1383 1376
D 1365 1374
D 494 478
D 1184 1197
D 248 247
D 580 598
D 533 545
D 842 844
D 1046 1034
D 465 464
B 10
D 171 174
D 374 369
D 1248 1246
D 554 562
D 1474 1470
D 790 796
D 1363 1371
D 1127 1132
D 1097 1096
D 827 845
B 10
D 1101 1115
D 654 657
D 42 49
D 1035 1037
D 1101 1112
D 1114 1101
D 735 740
D 1382 1386
D 229 227
D 93 95
B 10
D 700 711
D 204 209
D 411 418
D 1289 1283
D 205 208
D 289 278
D 759 753
D 586 582
D 1361 1369
D 391 395
B 10
D 547 545
D 885 881
D 1242 1239
D 283 293
D 711 710
D 1116 1106
D 260 267
D 420 401
D 436 440
D 1068 1060
B 10
D 1101 1114
D 11 5
D 391 386
D 1282 1281
D 850 853
D 1182 1193
D 373 374
D 1222 1224
D 1081 1075
D 692 699
B 10
D 1001 1015
D 455 453
D 692 676
D 575 586
D 3 9
D 633 644
D 313 305
D 1235 1240
D 270 251
