B 10
I 162 122
I 374 353
I 222 1133
I 569 904
I 221 1033
I 367 1202
I 1055 1235
I 742 1224
I 727 495
I 866 962
B 10
I 1096 347
I 933 1305
I 285 115
I 63 1480
I 131 810
I 65 679
I 269 593
I 86 803
I 257 174
I 461 598
B 10
I 68 328
I 1188 90
I 1101 342
I 718 799
I 5 363
I 1466 859
I 542 1278
I 1113 1081
I 1044 854
I 1226 834
B 10
I 1223 544
I 1271 402
I 1214 1297
I 361 323
I 433 832
I 423 1327
I 425 735
I 39 1014
I 1285 921
I 1322 1146
B 10
I 773 266
I 1412 1432
I 1316 508
I 1354 492
I 1011 147
I 1277 580
I 1247 73
I 373 62
I 188 106
I 1462 888
B 10
I 1195 781
I 1289 287
I 162 658
I 331 1223
I 1245 545
I 976 567
I 1226 9
I 328 1175
I 826 596
I 550 208
B 10
I 798 750
I 1403 1018
I 1444 799
I 983 176
I 791 527
I 92 370
I 201 308
I 1207 785
I 889 764
I 841 45
B 10
I 1287 706
I 439 298
I 1309 1188
I 783 363
I 1002 226
I 733 1253
I 274 552
I 451 27
I 1470 729
I 552 548
B 10
I 22 1020
I 363 1348
I 5 1427
I 366 1054
I 147 384
I 393 1445
I 108 959
I 489 1457
I 1218 931
I 82 298
B 10
I 1240 393
I 683 523
I 1179 1254
I 1068 989
I 1330 795
I 1196 1324
I 372 960
I 169 408
I 1450 521
I 38 1472
B 10
I 338 552
I 234 1174
I 734 916
I 950 1390
I 389 457
I 135 577
I 1194 966
I 292 111
I 340 1084
I 704 1025
B 10
I 1161 525
I 84 961
I 353 759
I 994 442
I 582 1226
I 1234 1120
I 863 461
I 1142 337
I 1487 957
I 1358 850
B 10
I 1402 521
I 253 1497
I 183 1267
I 1366 789
I 178 133
I 693 268
I 543 1374
I 196 1278
I 1383 111
I 1365 1180
B 10
I 494 1497
I 1184 1000
I 248 1451
I 580 1456
I 533 728
I 842 999
I 1046 503
I 465 797
I 171 388
I 374 546
B 10
I 1248 687
I 554 1311
I 1474 864
I 790 1341
I 1363 1475
I 1127 1001
I 1097 319
I 827 1384
I 1101 406
I 654 1472
B 10
I 42 880
I 1035 863
I 1101 1314
I 1114 762
I 735 250
I 1382 248
I 229 734
I 93 990
I 700 1410
I 204 978
B 10
I 411 138
I 1289 1342
I 205 1146
I 289 1219
I 759 1105
I 586 324
I 1361 1497
I 391 374
I 547 744
I 885 93
B 10
I 1242 854
I 283 354
I 711 4
I 1116 508
I 260 1358
I 1393 436
I 1301 1068
I 1127 1101
I 138 11
I 1332 391
B 10
I 696 1282
I 465 850
I 1370 1182
I 543 373
I 484 1222
I 125 1081
I 312 692
I 979 1001
I 938 455
I 1167 692
B 10
I 329 575
I 861 3
I 1341 633
I 1359 313
I 1221 1235
I 1331 270
I 422 1159
I 1296 254
I 590 235
I 1086 1304
B 10
I 209 513
I 853 889
I 195 88
I 139 871
I 731 158
I 208 569
I 1175 775
I 1109 975
I 1030 357
I 252 616
B 10
I 90 289
I 1236 1154
I 390 972
I 1423 1082
I 1027 767
I 1276 77
I 178 1283
I 1300 80
I 1489 934
I 613 660
B 10
I 966 382
I 377 33
I 764 939
I 616 2
I 1333 1433
I 461 218
I 990 1131
I 59 923
I 22 216
I 733 1265
B 10
I 1099 1380
I 991 403
I 994 1291
I 1065 1300
I 226 662
I 445 221
I 184 517
I 478 851
I 1422 1267
I 1145 504
B 10
I 639 421
I 663 1170
I 1358 1107
I 1298 500
I 1287 587
I 613 251
I 370 99
I 826 326
I 1208 259
I 249 390
B 10
I 951 1308
I 391 1019
I 1224 823
I 497 474
I 710 229
I 373 1346
I 1099 156
I 1440 246
I 1318 1373
I 532 593
B 10
I 946 1041
I 887 316
I 1176 1425
I 1088 691
I 1021 875
I 1166 639
I 964 457
I 348 1202
I 301 809
I 345 955
B 10
I 1297 412
I 1178 714
I 588 741
I 157 309
I 1 567
I 481 207
I 312 327
I 1270 1357
I 33 357
I 653 29
B 10
I 641 41
I 558 213
I 469 1295
I 1104 1218
I 906 245
I 869 437
I 559 1106
I 747 696
I 1385 691
I 632 662
B 10
I 1059 1099
I 1378 918
I 712 616
I 401 898
I 409 136
I 140 414
I 759 65
I 637 574
I 7 33
I 815 46
B 10
I 523 1274
I 672 471
I 1375 517
I 217 35
I 1185 286
I 1089 934
I 733 152
I 460 588
I 579 316
I 386 107
B 10
I 1264 129
I 355 1129
I 629 920
I 1253 909
I 184 1062
I 672 1168
I 700 729
I 375 238
I 1028 1139
I 84 300
B 10
I 700 1297
I 42 678
I 462 153
I 828 353
I 997 1357
I 1060 856
I 929 606
I 966 274
I 6 1493
I 815 1021
B 10
I 95 1165
I 116 819
I 211 1482
I 788 879
I 54 893
I 240 193
I 272 228
