B 1000
I 171 80
D 171 56
I 16 170
I 30 101
I 133 66
D 36 50
D 159 132
I 88 161
D 105 151
I 165 99
D 154 150
D 56 45
D 10 26
D 157 2
I 139 174
D 130 101
D 104 146
D 39 35
I 37 6
I 172 14
D 75 35
I 38 177
I 95 184
I 78 134
D 85 142
D 179 131
D 95 128
D 112 27
I 75 71
I 107 29
I 128 164
I 20 52
D 148 5
D 152 52
I 102 111
I 58 92
I 71 28
D 52 113
I 24 66
D 159 175
D 197 104
I 120 71
I 108 153
D 174 64
I 128 123
I 12 156
D 84 94
D 69 147
D 62 3
D 23 162
I 3 70
D 82 155
I 115 93
D 120 95
I 111 35
D 130 71
D 108 69
D 154 24
D 38 99
D 122 198
D 59 148
D 30 158
I 130 158
D 162 156
D 14 134
D 60 114
D 187 149
I 141 121
D 4 138
D 156 22
D 85 34
D 95 28
D 187 164
I 58 128
D 58 100
D 93 45
I 62 58
I 100 59
D 168 40
D 49 66
D 47 153
D 148 174
I 132 138
I 52 190
D 39 4
I 1 68
D 52 138
I 56 66
I 21 153
I 40 31
I 76 150
D 23 184
D 8 42
I 77 34
I 66 190
D 4 138
D 157 169
I 129 26
D 98 137
D 105 84
D 92 197
I 125 102
D 182 124
I 187 137
D 145 198
I 104 58
D 93 89
I 7 183
I 196 119
I 190 118
I 118 119
D 95 132
I 121 46
I 181 117
I 188 140
D 72 112
D 116 144
I 144 158
D 84 66
I 199 161
I 172 54
I 169 89
D 136 145
I 185 198
D 25 40
I 194 63
D 116 173
D 133 40
D 175 157
D 81 69
D 143 184
I 5 149
I 63 72
I 111 26
I 140 151
D 87 83
D 140 163
D 8 56
I 199 141
I 14 18
I 105 51
D 11 4
D 33 122
I 192 160
D 131 77
I 161 175
D 98 94
D 141 164
D 59 158
D 109 157
I 184 110
D 84 34
D 92 6
I 119 175
I 110 12
I 100 149
I 91 43
I 25 66
I 145 190
D 175 184
I 171 154
I 118 109
D 85 38
I 175 164
D 80 187
I 88 99
I 12 185
D 114 111
I 178 199
I 13 139
D 64 174
I 130 105
I 190 27
I 199 185
D 138 60
I 57 18
D 161 45
D 50 91
D 148 108
D 137 179
I 54 42
D 165 195
I 5 79
D 157 101
D 51 21
I 140 0
I 48 187
I 43 189
I 57 199
D 11 55
I 178 182
I 105 61
D 97 11
D 118 3
I 1 94
D 19 29
D 5 48
D 143 98
D 124 46
D 19 199
D 93 83
