B 100
D 138 36
D 65 36
D 73 84
D 17 2
D 120 152
D 68 36
D 166 67
D 37 21
D 135 172
D 48 104
D 16 122
D 20 156
D 79 180
D 57 180
D 166 84
D 104 129
D 108 48
D 88 111
D 3 16
D 61 184
D 153 2
D 112 88
D 3 51
D 121 113
D 18 104
D 58 101
D 149 170
D 55 54
D 55 160
D 169 114
D 28 111
D 144 60
D 35 106
D 95 46
D 34 52
D 98 10
D 147 98
D 133 5
D 185 183
D 28 142
D 12 98
D 78 99
D 89 74
D 183 65
D 21 111
D 30 65
D 157 56
D 15 115
D 129 172
D 12 0
D 187 158
D 180 133
D 58 101
D 161 109
D 90 30
D 104 63
D 87 153
D 35 190
D 188 193
D 174 131
D 19 155
D 78 113
D 151 3
D 8 120
D 140 103
D 147 71
D 148 59
D 42 14
D 9 127
D 65 2
D 37 25
D 154 178
D 79 153
D 159 52
D 153 166
D 9 74
D 142 16
D 43 78
D 96 152
D 152 68
D 199 58
D 6 174
D 130 101
D 91 64
D 96 115
D 69 83
D 136 139
D 75 68
D 105 151
D 191 66
D 42 124
D 108 185
D 86 61
D 10 73
D 98 154
D 80 59
D 178 171
D 9 146
D 164 154
D 100 122
B 100
D 91 101
D 198 69
D 177 157
D 4 83
D 139 35
D 169 106
D 72 108
D 88 87
D 149 152
D 95 41
D 178 87
D 38 187
D 184 53
D 78 113
D 78 24
D 74 92
D 88 102
D 33 155
D 119 184
D 88 190
D 62 145
D 158 32
D 32 159
D 165 72
D 66 100
D 35 75
D 38 144
D 138 52
D 87 92
D 183 185
D 9 185
D 28 150
D 33 42
D 105 182
D 103 94
D 114 169
D 3 170
D 68 94
D 11 65
D 142 29
D 190 173
D 57 135
D 18 199
D 139 144
D 4 85
D 161 116
D 53 64
D 69 147
D 97 133
D 187 28
D 138 173
D 27 151
D 127 104
D 64 53
D 5 41
D 94 84
D 171 144
D 55 110
D 38 162
D 164 133
D 9 138
D 25 91
D 117 118
D 22 101
D 83 161
D 4 60
D 172 7
D 7 12
D 55 174
D 12 82
D 104 8
D 76 26
D 16 49
D 36 183
D 36 145
D 45 107
D 35 75
D 53 26
D 134 33
D 146 174
D 188 40
D 69 163
D 86 26
D 12 179
D 188 160
D 179 19
D 101 23
D 168 178
D 121 36
D 47 115
D 94 57
D 42 84
D 72 103
D 145 85
D 26 59
D 110 168
D 144 19
D 102 124
D 143 100
D 186 107
B 100
D 20 32
D 147 197
D 13 67
D 104 47
D 57 47
D 77 115
D 30 89
D 61 86
D 182 149
D 40 64
D 180 77
D 134 182
D 144 60
D 191 158
D 197 111
D 67 105
D 112 169
D 184 23
D 105 64
D 25 75
D 172 122
D 33 106
D 103 128
D 14 129
D 44 10
D 55 163
D 27 145
D 16 28
D 104 186
D 164 127
D 4 108
D 187 132
D 63 41
D 67 76
D 107 159
D 58 139
D 22 137
D 77 186
D 127 71
D 139 20
D 121 36
D 17 90
D 59 49
D 51 150
D 128 163
D 34 109
D 161 131
D 21 122
D 144 100
D 36 140
D 96 156
D 116 8
D 18 21
D 159 131
D 53 119
D 140 97
D 93 90
D 129 171
D 83 93
D 42 116
D 47 186
D 67 177
D 145 169
D 55 32
D 51 23
D 104 126
D 34 85
D 140 123
D 182 106
D 149 96
D 71 30
D 23 101
D 155 69
D 72 112
D 10 85
D 76 18
D 71 133
D 11 89
D 103 16
D 128 5
D 52 97
D 67 103
D 68 4
D 53 119
D 99 15
D 29 71
D 156 22
D 155 150
D 103 89
D 168 32
D 137 109
D 87 178
D 109 35
D 77 26
D 121 102
D 185 157
D 43 5
D 140 164
D 103 94
D 6 103
B 100
D 15 106
D 149 77
D 123 132
D 70 92
D 101 58
D 16 90
D 7 83
D 135 95
D 124 112
D 81 195
D 106 94
D 178 98
D 90 50
D 136 156
D 128 103
D 132 95
D 6 147
D 32 179
D 78 85
D 10 98
D 67 55
D 0 8
D 91 101
D 30 95
D 167 181
D 154 13
D 14 1
D 92 16
D 50 196
D 54 60
D 87 94
D 97 42
D 157 41
D 140 8
D 129 172
D 43 52
D 126 120
D 6 146
D 92 99
D 104 127
D 59 98
D 193 76
D 24 78
D 37 21
D 147 197
D 63 197
D 137 126
D 2 159
D 120 163
D 162 91
D 121 75
D 190 180
D 183 184
D 173 156
D 168 82
D 120 14
D 34 84
D 194 158
D 195 38
D 96 156
D 128 85
D 80 167
D 156 111
D 189 40
D 153 115
D 101 111
D 34 72
D 24 14
D 127 181
D 84 119
D 36 187
D 54 60
D 198 178
D 122 156
D 10 18
D 96 156
D 174 64
D 33 15
D 197 13
D 6 194
D 36 65
D 105 48
D 24 78
D 132 178
D 25 0
D 143 115
D 171 56
D 150 156
D 25 181
D 110 131
D 55 175
D 110 123
D 86 158
D 166 180
D 139 154
D 195 160
D 196 155
D 39 124
D 0 7
D 141 142
B 100
D 153 9
D 150 59
D 108 49
D 78 53
D 84 74
D 78 193
D 15 150
D 131 124
D 143 147
D 54 25
D 14 56
D 144 2
D 103 96
D 67 71
D 150 156
D 129 43
D 39 120
D 183 90
D 32 159
D 107 19
D 100 147
D 87 176
D 44 70
D 93 86
D 195 131
D 78 72
D 23 101
D 149 130
D 6 66
D 80 76
D 163 100
D 168 57
D 35 58
D 123 22
D 42 38
D 2 166
D 196 118
D 162 28
D 85 38
D 126 157
D 190 117
D 60 54
D 16 103
D 76 198
D 70 128
D 14 197
D 167 180
D 92 11
D 170 49
D 51 71
D 165 195
D 83 77
D 94 96
D 156 20
D 184 107
D 177 194
