B 10
D 114 129
I 73 193
I 32 81
I 27 64
I 16 10
I 104 76
D 105 14
I 185 146
I 80 67
I 182 173
B 10
I 45 26
I 176 101
I 34 153
I 55 140
D 48 191
I 191 136
I 49 97
D 47 154
I 116 71
D 185 103
B 10
D 192 110
D 41 1
D 156 162
I 37 50
D 151 128
D 162 61
D 52 142
D 82 144
D 48 16
D 98 42
B 10
I 21 6
I 5 79
D 34 169
I 95 91
D 157 151
I 47 46
D 80 177
D 88 197
D 125 82
I 178 135
B 10
I 90 191
I 110 126
I 26 141
D 22 158
D 64 195
D 4 178
I 169 85
D 43 5
I 113 25
I 42 34
B 10
I 17 127
D 31 6
D 127 164
I 68 112
I 8 75
D 179 13
I 19 133
I 140 62
D 34 170
D 131 51
B 10
I 13 75
D 168 81
D 194 34
I 160 108
D 106 23
D 50 195
D 190 61
D 60 69
I 91 28
D 68 54
B 10
D 113 118
I 187 7
D 98 94
D 164 133
D 41 44
D 92 49
D 107 159
I 146 125
I 77 111
D 185 148
B 10
I 115 159
I 128 114
I 95 26
I 93 77
I 55 15
D 37 101
D 182 105
D 65 190
I 140 66
D 12 74
B 10
D 176 192
I 186 102
I 66 144
D 54 71
D 198 21
I 182 26
I 75 103
I 190 21
D 168 97
I 90 41
B 10
D 112 13
I 58 184
D 65 76
D 131 51
D 179 19
I 16 34
D 44 66
D 135 179
I 14 104
D 177 136
B 10
D 182 138
D 93 38
I 150 186
I 81 29
I 71 56
I 83 141
D 34 85
D 58 32
D 39 1
D 91 193
B 10
D 184 2
I 56 92
I 79 168
D 105 84
I 106 162
D 78 110
I 153 93
D 21 134
D 78 174
D 66 100
B 10
I 78 102
D 91 125
I 175 8
I 190 141
I 137 172
I 102 133
I 5 113
I 196 156
I 72 106
I 116 112
B 10
D 146 123
I 20 171
I 156 50
I 149 176
D 100 57
D 143 167
I 132 156
D 41 162
I 193 49
D 167 143
B 10
D 154 98
D 11 194
I 12 188
I 90 42
I 66 157
D 93 165
D 41 124
I 144 73
I 112 123
D 188 168
B 10
D 18 45
D 170 56
I 61 18
I 110 40
D 50 91
D 115 128
I 38 78
D 185 149
I 144 88
D 134 191
B 10
D 137 197
I 137 190
I 182 146
D 17 5
D 171 33
I 136 2
I 33 48
I 57 150
I 185 134
D 52 27
B 10
I 16 55
I 120 0
I 114 13
I 93 33
D 23 96
D 152 119
I 72 158
D 187 73
I 17 61
D 92 2
B 10
D 136 146
D 42 116
I 82 117
D 167 24
D 118 117
I 103 10
I 126 181
D 185 3
I 80 140
D 99 26
B 10
D 55 132
I 133 76
I 112 130
I 133 112
D 94 103
D 35 174
D 120 141
D 144 157
I 101 164
I 112 41
B 10
I 192 29
I 76 107
D 13 30
D 196 4
D 90 65
D 69 103
D 171 159
I 185 61
D 196 129
I 71 11
B 10
I 77 165
D 71 87
I 78 97
D 192 156
I 112 42
D 69 192
I 157 19
I 189 41
D 7 0
I 190 163
B 10
I 158 80
D 184 175
I 110 51
D 17 5
D 181 64
D 99 131
D 56 135
D 191 181
D 39 27
D 138 60
B 10
D 189 63
D 161 163
I 6 35
I 186 74
I 67 193
D 141 6
D 15 16
D 177 79
I 65 19
I 55 131
B 10
D 156 84
I 41 39
I 177 120
I 66 152
I 27 93
D 117 193
D 190 33
D 26 154
D 116 9
I 106 113
B 10
I 80 143
D 7 24
D 198 12
D 116 42
I 157 48
I 9 73
I 51 72
I 23 119
I 121 31
I 149 125
B 10
I 27 115
D 192 180
I 11 74
I 14 29
I 145 152
I 72 173
I 94 169
I 177 116
I 133 24
D 125 141
B 10
I 78 187
D 121 110
D 172 128
D 69 42
I 100 188
I 8 6
D 107 176
D 63 26
D 168 183
I 57 8
B 10
I 182 94
I 38 37
I 43 55
D 56 63
I 170 26
I 60 100
D 182 44
D 78 53
D 179 178
I 32 22
B 10
I 20 102
I 170 75
I 123 34
I 95 20
D 192 32
I 70 62
D 4 60
D 39 78
D 177 47
D 123 65
B 10
D 125 25
D 88 151
I 191 123
D 31 52
D 73 2
D 148 40
D 120 3
D 140 123
I 170 195
D 59 9
B 10
D 3 27
D 150 160
I 31 80
D 13 112
I 78 161
I 196 161
I 95 116
I 171 85
D 103 117
I 34 141
B 10
D 167 22
D 105 94
I 2 1
D 186 47
I 40 132
I 5 129
I 162 27
I 164 147
D 129 137
I 112 105
B 10
I 49 36
I 66 186
D 75 171
I 135 33
I 52 88
I 69 63
I 132 22
I 30 17
I 39 195
D 16 183
B 10
I 40 190
D 32 111
I 158 175
D 142 29
D 30 35
I 74 59
D 183 168
I 59 141
I 72 16
I 41 31
B 10
D 8 76
I 151 20
I 152 85
I 161 92
I 158 181
I 28 99
D 101 130
I 153 16
I 32 180
D 31 176
B 10
D 33 184
D 25 132
I 16 181
D 12 9
D 77 28
D 135 153
I 188 194
I 186 174
I 118 84
I 141 30
B 10
D 105 48
I 25 66
I 30 16
D 58 149
I 104 114
D 74 82
D 161 178
D 66 181
I 144 119
D 163 93
B 10
I 64 193
D 115 63
D 24 127
D 116 9
D 66 137
D 47 183
D 42 128
I 97 153
I 195 153
D 168 77
